UBE2J2
SCNN1D
PUSL1
CPTP
TAS1R3
ANKRD65
VWA1
RER1
C1orf174
KCNAB2
PHF13
ERRFI1
RERE
SLC2A5
GPR157
PIK3CD-AS2
CTNNBIP1
RBP7
UBE4B
KIF1B
CASZ1
SRM
MAD2L2
FBXO42
ATP13A2
PADI3
ARHGEF10L
MRTO4
MICOS10
CDA
PINK1
PINK1-AS
CDC42
C1QA
C1QC
EPHB2
LUZP1
IL22RA1
GRHL3
NIPAL3
RSRP1
LDLRAP1
PAQR7
STMN1
SLC30A2
HMGN2
ZDHHC18
NUDC
TENT5B
SLC9A1
WDTC1
EYA3
MED18
PHACTR4
RAB42
MECR
SDC3
SNRNP40
RNF19B
TRIM62
GJB5
GJB4
GJB3
ZMYM1
AGO3
STK40
DNALI1
GNL2
C1orf122
MTF1
CAP1
SCMH1
YBX1
SVBP
MPL
ELOVL1
SLC6A9
PLK3
DYNLT4
BTBD19
POMGNT1
CYP4B1
TRABD2B
RNF11
EPS15
OSBPL9
RAB3B
FYB2
TACSTD2
ANGPTL3
CACHD1
DNAJC6
DEPDC1
LRRC40
HHLA3
TYW3
SLC44A5
ADGRL2
SSX2IP
BCL10-AS1
CCN1
CLCA2
LOC105378841
LRRC8D
BCAR3
ARHGAP29
ABCD3
SNX7
VCAM1
SLC30A7
GPSM2
MYBPHL
GSTM1
CSF1
LAMTOR5
WDR77
CTTNBP2NL
MOV10
RHOC
SLC16A1
PTPN22
BCL2L15
OLFML3
ATP1A1
IGSF3
PTGFRN
SPAG17
WARS2
ZNF697
LOC100996318
RNF115
LIX1L
POLR3GL
PRKAB2
CHD1L
ANP32E
MRPS21
TARS2
FALEC
ADAMTSL4-AS2
ADAMTSL4
MCL1
CTSK
ANXA9
PIP5K1A
RFX5
HRNR
FLG2
KPRP
IVL
SPRR2F
S100A16
S100A14
S100A1
NPR1
GBAP1
GBA1
MSTO1
YY1AP1
SYT11
RIT1
ARHGEF2
SSR2
RAB25
LMNA
TMEM79
IQGAP3
MRPL24
ARHGEF11
ETV3
KIRREL1
PEA15
CD84
F11R
RGS4
UCK2
FMO9P
SFT2D2
ANKRD36BP1
BLZF1
MRPS14
RASAL2-AS1
RASAL2
SOAT1
NPHS2
LHX4
RGS16
LAMC2
RGL1
TSEN15
PLA2G4A
ZBTB41
CAMSAP2
INAVA
PKP1
LAD1
ADIPOR1
ATP2B4
ZC3H11A
ZBED6
SNRPE
REN
PLEKHA6
PPP1R15B
PIK3C2B
DSTYK
ELK4
SLC45A3
RAB29
PM20D1
SLC26A9
LOC103021295
RHEX
LOC105372857
RASSF5
IL19
LOC105372878
C1orf116
PFKFB2
CD55
CAMK1G
TRAF5
GARIN4
TATDN3
SMYD2
CENPF
RRP15
ZC3H11B
EPRS1
MTARC2
DISP1
CAPN8
CAPN2
TP53BP2
FBXO28
DEGS1
WDR26
TMEM63A
PYCR2
PARP1
CDC42BPA
PGBD5
C1orf198
ARV1
COA6
NID1
HEATR1
CNST
LOC105373271
SH3BP5L
ZNF672
FAM110C
PXDN
MBOAT2
ASAP2
LOC107985851
TAF1B
LOC112268412
KLF11
ATP6V1C2
LOC105373428
ROCK2
TRIB2
SDC1
MFSD2B
TP53I3
ITSN2
NCOA1
CENPO
ADCY3
DNAJC27
KIF3C
RAB10
ATRAID
CAD
MPV17
NRBP1
FNDC4
GCKR
C2orf16
BABAM2-AS1
FOSL2
PLB1
WDR43
CAPN14
EHD3
TTC27
STRN
DHX57
ARHGEF33
PKDCC
MTA3
PLEKHH2
PPM1B
SLC3A1
RHOQ
PIGF
MCFD2
TTC7A
EPCAM
FOXN2
CCDC88A
EFEMP1
VRK2
SPRED2
PNO1
ANXA4
TGFA
LOC107985895
MPHOSPH10
EXOC6B
SPR
STAMBP
BOLA3
DQX1
DOK1
EVA1A
LOC105374836
KCMF1
TMEM150A
RNF103
LOC102724642
ANAPC1P4
ASTL
LYG1
NPAS2
LOC107985926
IL1R1
IL1RL2
LINC01159
SULT1C2
SEPTIN10
SOWAHC
LOC112268438
LOC105373985
LOC105373549
LOC105373986
LOC105373551
BUB1
ACOXL
TTL
IL1A
PSD4
CFAP221
LINC01889
GYPC
HS6ST1
MZT2B
ARHGEF4
MGAT5
RAB3GAP1
R3HDM1
MMADHC
RIF1
FMNL2
PRPF40A
GPD2
MARCHF7
RBMS1
DPP4
STK39
SSB
ITGA6
GPR155
LOC105373759
NFE2L2
ITPRID2
DNAJC10
ITGAV
MFSD6
GLS
NABP1
SLC39A10
SNORA105B
BZW1-AS1
BZW1
HYCC2
CFLAR
CFLAR-AS1
CASP10
FZD7
NOP58
WDR12
ABCA12
ATIC
FN1
MREG
SMARCAL1
IGFBP2
MIR6513
CYP27A1
ATG9A
CHPF
AP1S3
SERPINE2
CUL3
IRS1
TRIP12
ITM2C
NCL
PTMA
MIR1244-1
ERFE
CAPN10
BOK
DTYMK
ING5
EGOT
OXTR
CAMK1
IL17RC
PRRT3
EMC3
IRAK2
HRH1
RAF1
IQSEC1
NUP210
FBLN2
TMEM43
C3orf20
RFTN1
EFHB
RAB5A
PP2D1
KAT2B
OSBPL10
CMTM7
CRTAP
PDCD6IP
ACAA1
OXSR1
GORASP1
TTC21A
CSRNP1
