PLEKHN1
ISG15
LOC100288175
LOC105378948
TNFRSF18
B3GALT6
DVL1
MRPL20-AS1
MIB2
MMP23B
SLC35E2B
LOC112268218
NADK
PRXL2B
MMEL1
LRRC47
KCNAB2
RNF207
GPR153
NOL9
KLHL21
PHF13
ERRFI1
SLC45A1
RERE
ENO1
SLC2A5
GPR157
MIR34AHG
H6PD
SPSB1
CLSTN1
DFFA
C1orf127
MTOR
UBIAD1
FBXO6
DRAXIN
KIAA2013
PLOD1
MIIP
TNFRSF1B
DHRS3
KAZN
TMEM51-AS1
TMEM51
ZBTB17
EPHA2
ARHGEF19
CPLANE2
FBXO42
NECAP2
PADI2
UBR4
LOC100506730
AKR7A2
OTUD3
USP48
LDLRAD2
HSPG2
ZBTB40
C1QC
EPHB2
ZNF436
ELOA
FUCA1
CNR2
RUNX3
SYF2
MACO1
SELENON
PAQR7
PAFAH2
PIGV
ZDHHC18
NUDC
SLC9A1
TMEM222
AHDC1
FGR
THEMIS2
XKR8
MED18
SNHG3
TRNAU1AP
SNORD99
RAB42
YTHDF2
SRSF4
SNRNP40
FABP3
SERINC2
PEF1
SPOCD1
TSSK3
BSDC1
ZBTB8A
ZBTB8OS
RNF19B
AZIN2
PHC2
DLGAP3
TMEM35B
NCDN
C1orf216
AGO4
AGO1
AGO3
ADPRS
COL8A2
MAP7D1
SH3D21
LSM10
C1orf109
MTF1
SF3A3
FHL3
UTP11
AKIRIN1
PABPC4
PABPC4-AS1
HPCAL4
PPIE
BMP8B
MYCL
MYCL-AS1
RLF
COL9A2
EXO5
CTPS1
RIMKLA
YBX1
P3H1
C1orf50
SLC2A1
TIE1
PTPRF
KDM4A
DPH2
ERI3
RNF220
LOC107984950
TMEM53
UROD
ZSWIM5
TOE1
TESK2
AKR1A1
P3R3URF-PIK3R3
PIK3R3
LURAP1
NSUN4
MKNK1-AS1
MKNK1
MOB3C
EFCAB14
LINC01389
FOXD2-AS1
BEND5
FAF1
RNF11
OSBPL9
NRDC
KTI12
ORC1
COA7
CZIB
LRRC42
TCEANC2
CYB5RL
SSBP3
ACOT11
PARS2
TACSTD2
JUN
TM2D1
DOCK7
ATG4C
ALG6
PGM1
ROR1-AS1
JAK1
AK4
DNAJC6
SLC35D1
PTGER3
ZRANB2-AS1
ZRANB2
FPGT-TNNI3K
FPGT
CRYZ
ACADM
DNAJB4
SH3GLB1
LMO4
LRRC8C
ZNF326
TGFBR3
EVI5
MTF2
FNBP1L
GCLM
ABCD3
F3
FRRS1
TRMT13
PRMT6
SORT1
GNAT2
AMPD2
GSTM4
GSTM5
LAMTOR5
CD53
CEPT1
WDR77
TMIGD3
ADORA3
RAP1A
LINC01160
LOC107985184
DDX20
ST7L
RHOC
RSBN1
PTPN22
CSDE1
SLC22A15
ATP1A1
ATP1A1-AS1
TTF2
MAN1A2
WDR3
SPAG17
WARS2
WARS2-AS1
HSD3BP4
LINC00622
PDE4DIPP2
LOC107985201
LINC02802
LSP1P5
GPR89A
PEX11B
ANKRD34A
CHD1L
PDIA3P1
BCL9
GPR89B
LINC01138
LOC105371224
PDE4DIP
LOC653513
NOTCH2NLC
NBPF19
SF3B4
MTMR11
OTUD7B
PLEKHO1
CIART
MCL1
ARNT
TNFAIP8L2
PSMD4
PI4KB
RFX5
RFX5-AS1
MRPL9
OAZ3
TDRKH
TDRKH-AS1
S100A10
LOC105371441
LORICRIN
S100A9
S100A8
S100A1
CHTOP
NPR1
GATAD2B
CRTC2
SLC39A1
RAB13
HAX1
SHE
CHRNB2
PMVK
PYGO2
FLAD1
ZBTB7B
ADAM15
EFNA3
THBS3
THBS3-AS1
ENTREP3
MSTO1
MSTO2P
UBQLN4
PMF1-BGLAP
PMF1
MEF2D
NAXE
GPATCH4
NES
CRABP2
ISG20L2
ETV3L
ETV3
FCRL1
PYHIN1
IFI16
FCER1A
DUSP23
LOC107985216
IGSF9
SLAMF9
COPA
VANGL2
SLAMF6
F11R
NECTIN4
NDUFS2
HSPA6
HSPA7
SH2D1B
UAP1
ALDH9A1
MPZL1
MPC2
DCAF6
TBX19
ATP1B1
NME7
KIFAP3
FMO4
VAMP4
METTL13
DNM3
FASLG
TNFSF4
SNORD81
SNORD79
MRPS14
RASAL2
LOC105371630
C1orf220
LOC105371632
RALGPS2
TOR3A
CEP350
LHX4
STX6
IER5
GLUL
RNASEL
NPL
LAMC1
RGL1
C1orf21
NIBAN1
RNF2
IVNS1ABP
PTGS2
RGS1
CDC73
ZBTB41
DENND1B
NEK7
PTPRC
ZNF281
TMEM9
LAD1
CSRP1
CSRP1-AS1
NAV1
IPO9
PTPN7
LGR6
KDM5B
ADIPOR1
PPFIA4
BTG2
ETNK2
PLEKHA6
PPP1R15B
NUAK2
NUCKS1
IKBKE
RASSF5
IL10
IL19
PFKFB2
CR2
PLXNA2
G0S2
IRF6
UTP25
HHAT
SLC30A1
INTS7
PPP2R5A
ATF3
NSL1
TATDN3
SMYD2
LOC107985263
GPATCH2
RRP15
LOC101929750
DUSP10
TAF1A
FAM177B
DISP1
TLR5
CNIH4
WDR26
EPHX1
TMEM63A
SDE2
PARP1
PSEN2
ZNF678
JMJD4
GUK1
H2AC25
RNF187
RAB4A-AS1
CCSAP
TAF5L
URB2
COG2
C1orf198
TTC13
ARV1
C1orf131
SPRTN
EGLN1
MAP10
PCNX2
MAP3K21
IRF2BP2
TOMM20
ARID4B
LYST
EDARADD
LGALS8
LGALS8-AS1
LOC107985367
OPN3
CHML
SDCCAG8
AKT3
COX20
TFB2M
ZNF670
ZNF669
NLRP3
SH3BP5L
PGBD2
RNASEH1
